23-05-2014 07:19:52
INFO  2014-05-23 12:49:36,494 - Successfully installed Report Manager (\Portal\SlxClient\ContextMenuItems\ReportManagerListContextMenu\ReportManagerListContextMenu.contextmenu.xml)
INFO  2014-05-23 12:49:36,500 - Installing model item: History List (\Portal\SlxClient\ContextMenuItems\ReportManagerListContextMenu\ContextMenuItems\HistoryListContextMenu\HistoryListContextMenu.contextmenu.xml)
INFO  2014-05-23 12:49:36,531 - Successfully installed History List (\Portal\SlxClient\ContextMenuItems\ReportManagerListContextMenu\ContextMenuItems\HistoryListContextMenu\HistoryListContextMenu.contextmenu.xml)
INFO  2014-05-23 12:49:36,536 - Installing model item: Delete History... (\Portal\SlxClient\ContextMenuItems\ReportManagerListContextMenu\ContextMenuItems\HistoryListContextMenu\ContextMenuItems\mnuArchiveListDeleteArchive\mnuArchiveListDeleteArchive.contextmenu.xml)
INFO  2014-05-23 12:49:36,563 - Successfully installed Delete History... (\Portal\SlxClient\ContextMenuItems\ReportManagerListContextMenu\ContextMenuItems\HistoryListContextMenu\ContextMenuItems\mnuArchiveListDeleteArchive\mnuArchiveListDeleteArchive.contextmenu.xml)
INFO  2014-05-23 12:49:36,569 - Installing model item: Schedules List (\Portal\SlxClient\ContextMenuItems\ReportManagerListContextMenu\ContextMenuItems\ReportSchedulesListContextMenu\ReportSchedulesListContextMenu.contextmenu.xml)
INFO  2014-05-23 12:49:36,615 - Successfully installed Schedules List (\Portal\SlxClient\ContextMenuItems\ReportManagerListContextMenu\ContextMenuItems\ReportSchedulesListContextMenu\ReportSchedulesListContextMenu.contextmenu.xml)
INFO  2014-05-23 12:49:36,626 - Installing model item: Delete Schedule... (\Portal\SlxClient\ContextMenuItems\ReportManagerListContextMenu\ContextMenuItems\ReportSchedulesListContextMenu\ContextMenuItems\mnuSchedulesListDeleteSchedule\mnuSchedulesListDeleteSchedule.contextmenu.xml)
INFO  2014-05-23 12:49:36,741 - Successfully installed Delete Schedule... (\Portal\SlxClient\ContextMenuItems\ReportManagerListContextMenu\ContextMenuItems\ReportSchedulesListContextMenu\ContextMenuItems\mnuSchedulesListDeleteSchedule\mnuSchedulesListDeleteSchedule.contextmenu.xml)
INFO  2014-05-23 12:49:36,749 - Installing model item: Edit Schedule... (\Portal\SlxClient\ContextMenuItems\ReportManagerListContextMenu\ContextMenuItems\ReportSchedulesListContextMenu\ContextMenuItems\mnuSchedulesListEditSchedule\mnuSchedulesListEditSchedule.contextmenu.xml)
